0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:20:33 +0800] "GET /mybatis_house/jsp/Login.jsp HTTP/1.1" 200 16450
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:20:33 +0800] "GET /mybatis_house/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:20:33 +0800] "GET /mybatis_house/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:20:33 +0800] "GET /mybatis_house/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:20:33 +0800] "GET /mybatis_house/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:20:33 +0800] "GET /mybatis_house/css/bootstrap.min.css.map HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:22:13 +0800] "GET /mybatis_house/jsp/Login.jsp HTTP/1.1" 200 16450
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:22:13 +0800] "GET /mybatis_house/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:22:13 +0800] "GET /mybatis_house/js/jquery-1.12.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:22:13 +0800] "GET /mybatis_house/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:22:13 +0800] "GET /mybatis_house/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:22:13 +0800] "GET /mybatis_house/img/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:22:13 +0800] "GET /mybatis_house/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:22:14 +0800] "GET /mybatis_house/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:22:14 +0800] "GET /mybatis_house/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:22:14 +0800] "GET /mybatis_house/css/bootstrap.min.css.map HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:22:16 +0800] "GET /mybatis_house/jsp/Login.jsp HTTP/1.1" 200 16450
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:22:16 +0800] "GET /mybatis_house/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:22:16 +0800] "GET /mybatis_house/css/bootstrap.min.css.map HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:22:16 +0800] "GET /mybatis_house/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:22:16 +0800] "GET /mybatis_house/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:23:53 +0800] "GET /mybatis_house/jsp/Login.jsp HTTP/1.1" 200 16473
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:23:53 +0800] "GET /mybatis_house/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:23:53 +0800] "GET /mybatis_house/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:23:53 +0800] "GET /mybatis_house/js/jquery-1.12.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:23:53 +0800] "GET /mybatis_house/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:23:53 +0800] "GET /mybatis_house/img/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:23:53 +0800] "GET /mybatis_house/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1136
